name,description,color
:bug: bug,Defect / Bug,d73a4a
:broken_heart: breaking change,This will require a major release,d73a4a
:dollar: bounty $100,Get paid $100 via https://opencollective.com/cucumber if your PR is merged,bfdadc
:dollar: bounty $300,Get paid $300 via https://opencollective.com/cucumber if your PR is merged,bfdadc
:dollar: bounty $1000,Get paid $1000 via https://opencollective.com/cucumber if your PR is merged,bfdadc
security fix,Security fix generated by WhiteSource,fef2c0
security vulnerability,Security vulnerability detected by WhiteSource,fef2c0
good first issue,Good for newcomers,7057ff
:question: question,Closed because this is not a bug or enhancement,e4e669
:snail: slow burner,Tells Stalebot not to close this issue,cfd3d7
:no_good: wontfix,This will not be worked on,e4e669
:vertical_traffic_light: needs tests,Needs tests,e4e669
:baby_bottle: incomplete,Blocked until more information is provided,e4e669
:gemini: duplicate,Duplicate of another issue,e4e669
:thinking: cannot reproduce,Claimed bug cannot be reproduced,e4e669
:white_check_mark: accepted,Candidate for going onto the Cucumber Open Board: https://github.com/orgs/cucumber/projects/8,00a818
:hourglass: stale,Will soon be closed by stalebot unless there is activity,cfd3d7
:cucumber: enhancement,Request for new functionality,a2eeef
:wrench: build,Related to build / release process,0075ca
:book: documentation,Improvements or additions to documentation,0075ca
